OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartTime.TimeZoneCode_offset,ActivityStartDateTime,ActivityEndTime.TimeZoneCode_offset,ActivityEndDateTime
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100462,Sample-Routine,Water,Surface Water,2020-10-06,09:06:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085068,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.161,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,AKP03,USGS,"Nutrients, wf, persulfate (NE)",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:06:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100462,Sample-Routine,Water,Surface Water,2020-10-06,09:06:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085068,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,187,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:06:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100465,Sample-Routine,Water,Surface Water,2020-10-06,09:36:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040850684,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Nitrate,Dissolved,0.43,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00618,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:36:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100465,Sample-Routine,Water,Surface Water,2020-10-06,09:36:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040850684,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.09,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:36:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100465,Sample-Routine,Water,Surface Water,2020-10-06,09:36:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040850684,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,134,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:36:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100465,Sample-Routine,Water,Surface Water,2020-10-06,09:36:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040850684,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.071,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,AKP03,USGS,"Nutrients, wf, persulfate (NE)",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:36:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100515,Sample-Routine,Water,Surface Water,2020-10-06,10:00:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085078,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Nitrate,Dissolved,0.36,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00618,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T15:00:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100515,Sample-Routine,Water,Surface Water,2020-10-06,10:00:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085078,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.052,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,AKP03,USGS,"Nutrients, wf, persulfate (NE)",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T15:00:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100515,Sample-Routine,Water,Surface Water,2020-10-06,10:00:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085078,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,91.0,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T15:00:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100515,Sample-Routine,Water,Surface Water,2020-10-06,10:00:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085078,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.08,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T15:00:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100003,Sample-Routine,Water,Surface Water,2020-10-06,15:05:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040851385,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Nitrate,Dissolved,2.68,mg/l asNO3,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,71851,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T20:05:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100003,Sample-Routine,Water,Surface Water,2020-10-06,15:05:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040851385,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,20.3,mg/l,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,IC022,USGS,"Anions, wf, IC","Standard Methods (22d ed), 2012, p 4-5 - 4-7","USGS-National Water Quality Lab, Denver, CO",2020-11-17,NA,Detection limit by DQCALC,0.02,mg/l,NA,NWIS,5,2020-10-06T20:05:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100003,Sample-Routine,Water,Surface Water,2020-10-06,15:05:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040851385,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Nitrate,Dissolved,0.604,mg/l as N,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00618,NA,NA,NA,NA,NA,ALGOR,USGS,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T20:05:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100003,Sample-Routine,Water,Surface Water,2020-10-06,15:05:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040851385,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.176,mg/l as P,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,CL021,USGS,"P, wu, WCA, persulfate CF color",NA,"USGS-National Water Quality Lab, Denver, CO",2020-10-28,NA,Detection limit by DQCALC,0.003,mg/l as P,NA,NWIS,5,2020-10-06T20:05:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100495,Sample-Routine,Water,Surface Water,2020-10-12,15:45:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085078,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.072,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,AKP03,USGS,"Nutrients, wf, persulfate (NE)",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-12T20:45:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100495,Sample-Routine,Water,Surface Water,2020-10-12,15:45:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085078,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.13,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-12T20:45:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100468,Sample-Routine,Water,Surface Water,2020-10-12,20:30:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040850684,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.15,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-13T01:30:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100468,Sample-Routine,Water,Surface Water,2020-10-12,20:30:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-040850684,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.098,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,AKP03,USGS,"Nutrients, wf, persulfate (NE)",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-13T01:30:00Z,NA,NA
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-252572345,Sample-Routine,Water,NA,2020-10-13,12:40:00,CDT,2020-10-13,13:00:00,CDT,NA,NA,NA,NA,NA,NA,NA,Cap_5_2014,WIDNR_WQX,WIDNR_WQX-053683,NA,NA,NA,NA,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Miscellaneous (Other),NA,Phosphorus,Total,0.0753,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/,113133790,2020-10-23,NA,NA,NA,NA,NA,STORET,5,2020-10-13T17:40:00Z,5,2020-10-13T18:00:00Z
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-253416976,Sample-Routine,Water,NA,2020-10-16,11:30:00,CDT,2020-10-16,11:40:00,CDT,NA,NA,NA,NA,NA,NA,NA,Cap_5_2014,WIDNR_WQX,WIDNR_WQX-10016494,NA,NA,NA,NA,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Miscellaneous (Other),NA,Phosphorus,Total,3.30,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/,113133790,2020-11-02,NA,NA,NA,NA,NA,STORET,5,2020-10-16T16:30:00Z,5,2020-10-16T16:40:00Z
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100424,Sample-Routine,Water,Surface Water,2020-10-16,15:30:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04084911,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.192,mg/l as P,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-16T20:30:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100424,Sample-Routine,Water,Surface Water,2020-10-16,15:30:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04084911,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.215,mg/l as P,NA,Accepted,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-16T20:30:00Z,NA,NA
WIDNR_WQX,Wisconsin Department of Natural Resources,WIDNR_WQX-253417568,Sample-Routine,Water,NA,2020-10-18,12:30:00,CDT,2020-10-18,12:30:00,CDT,NA,NA,NA,NA,NA,NA,NA,Cap_5_2014,WIDNR_WQX,WIDNR_WQX-10015851,NA,NA,NA,NA,GRAB SAMPLE,WIDNR_WQX,WATER GRAB SAMPLE,Miscellaneous (Other),NA,Phosphorus,Total,0.0692,mg/L,NA,Final,NA,Actual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,365.1,USEPA,Phosphorus by Colorimetry,https://www.nemi.gov/methods/method_summary/4823/,113133790,2020-11-02,NA,NA,NA,NA,NA,STORET,5,2020-10-18T17:30:00Z,5,2020-10-18T17:30:00Z
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02104646,Sample-Routine,Water,Surface Water,2020-10-19,09:26:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04072076,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.024,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-19T14:26:00Z,NA,NA
